iter	MultiClass
280	1.500404371
281	1.500357508
282	1.500291128
283	1.500216847
284	1.500168241
285	1.500134383
286	1.500074115
287	1.500003001
288	1.499929889
289	1.499876402
290	1.499802089
291	1.499733492
292	1.499688755
293	1.499607619
294	1.499548348
295	1.499522553
296	1.499451459
297	1.499397345
298	1.499343349
299	1.499303109
300	1.499235423
301	1.49918992
302	1.499121632
303	1.499058634
304	1.498998433
305	1.498956096
306	1.498908149
307	1.498853443
308	1.498803328
309	1.498739179
310	1.498687523
311	1.498604396
312	1.498550801
313	1.498485025
314	1.498442182
315	1.498406986
316	1.498341056
317	1.498282181
318	1.49824971
319	1.498189709
320	1.498159298
321	1.49810403
322	1.498076688
323	1.498029522
324	1.497991034
325	1.497939794
326	1.497867166
327	1.49779564
328	1.497766916
329	1.497733701
330	1.497672252
331	1.497643182
332	1.497598924
333	1.497556249
334	1.497526445
335	1.497488333
336	1.497449642
337	1.497415764
338	1.497338217
339	1.497291712
340	1.497250754
341	1.497232097
342	1.497186157
343	1.497137325
344	1.49709497
345	1.497045833
346	1.496991376
347	1.496951266
348	1.49691967
349	1.496884195
350	1.496849219
351	1.496815208
352	1.496762607
353	1.496715805
354	1.496690033
355	1.496662327
356	1.496618365
357	1.496596398
358	1.496557582
359	1.496511334
360	1.496478411
361	1.496430919
362	1.496390446
363	1.496353265
364	1.496298821
365	1.496270549
366	1.496251484
367	1.496223057
368	1.496169104
369	1.496138874
370	1.496107554
371	1.496056713
372	1.496013807
373	1.495966806
374	1.495916978
375	1.495875712
376	1.495839378
377	1.49578897
378	1.495746032
379	1.495713784
380	1.495673805
381	1.495652475
382	1.495609467
383	1.495578885
384	1.495542209
385	1.495508883
386	1.495478945
387	1.495452078
388	1.495402319
389	1.495365982
390	1.495314796
391	1.495294289
392	1.495264947
393	1.495225559
394	1.495180156
395	1.495154007
396	1.495122803
397	1.495092707
398	1.495067359
399	1.495036715
400	1.494997279
401	1.494955412
402	1.494933953
403	1.494912926
404	1.494884247
405	1.494845267
406	1.494820288
407	1.49478598
408	1.494759473
409	1.494729456
410	1.494711134
411	1.494694655
412	1.494668614
413	1.494655226
414	1.494629757
415	1.494594626
416	1.494573777
417	1.494552883
418	1.494530747
419	1.494494831
420	1.494461411
421	1.494431637
422	1.494410063
423	1.494373832
424	1.494334936
425	1.494307722
426	1.494277186
427	1.49425711
428	1.494228108
429	1.494197805
430	1.49416216
431	1.494145351
432	1.494128244
433	1.494108033
434	1.494078434
435	1.494053743
436	1.494026359
437	1.493999814
438	1.493981091
439	1.493947805
440	1.493908684
441	1.493896567
442	1.493877899
443	1.49385581
444	1.493831065
445	1.493808116
446	1.493771891
447	1.493757948
448	1.493741223
449	1.493719817
450	1.493706988
451	1.493674431
452	1.49365535
453	1.493630192
454	1.493597201
455	1.493577758
456	1.49354936
457	1.493527125
458	1.493506383
459	1.493484721
460	1.49345337
461	1.493424276
462	1.493407313
463	1.493387703
464	1.493359546
465	1.493342366
466	1.493315461
467	1.493299395
468	1.493281655
469	1.493267298
470	1.493246652
471	1.493218676
472	1.493205647
473	1.493176809
474	1.493154626
475	1.493133721
476	1.493111443
477	1.493086605
478	1.49306242
479	1.493045511
480	1.493027403
481	1.493004676
482	1.492992587
483	1.492982474
484	1.492967322
485	1.492942299
486	1.492913856
487	1.492891257
488	1.492872716
489	1.492850138
490	1.492834445
491	1.492812711
492	1.492794646
493	1.492779982
494	1.492764387
495	1.492752915
496	1.492737695
497	1.49271754
498	1.492698971
499	1.492680322
500	1.492667367
501	1.49265011
502	1.492628995
503	1.492612042
504	1.492588328
505	1.492569914
506	1.492549247
507	1.492528202
508	1.492518885
509	1.492503003
510	1.492486555
511	1.492472875
512	1.492453838
513	1.492431523
514	1.492415288
515	1.49240529
516	1.492386165
517	1.492370247
518	1.492351635
519	1.492325909
520	1.492307137
521	1.492291932
522	1.492274675
523	1.492257011
524	1.492238514
525	1.492221556
526	1.492200248
527	1.492178517
528	1.492162262
529	1.492151385
530	1.492139093
531	1.492121584
532	1.492106864
533	1.49209847
534	1.492077164
535	1.492063118
536	1.492047322
537	1.492029611
538	1.492013268
539	1.491995805
540	1.491982212
541	1.491966525
542	1.491958659
543	1.491947114
544	1.491935906
545	1.491919034
546	1.491903369
547	1.491893106
548	1.491875417
549	1.491864673
550	1.491854251
551	1.491837476
552	1.491824319
553	1.491806397
554	1.49178926
555	1.49177178
556	1.491756295
557	1.491744613
558	1.49172293
559	1.491710519
560	1.491701254
561	1.491683224
562	1.491670734
563	1.491661284
564	1.491655767
565	1.491643916
566	1.491632717
567	1.491615867
568	1.491602516
569	1.491587179
570	1.491569793
571	1.491558887
572	1.491551254
573	1.491545365
574	1.491531265
575	1.491521545
576	1.491516594
577	1.491507068
578	1.491493196
579	1.491483581
580	1.491470519
581	1.491458495
582	1.491444605
583	1.491437671
584	1.491428945
585	1.491402295
586	1.491388843
587	1.491376072
588	1.491360695
589	1.491348488
590	1.491339907
591	1.491326869
592	1.491311769
593	1.491298045
594	1.491282326
595	1.491273106
596	1.491261819
597	1.4912494
598	1.491237078
599	1.491229355
600	1.491216646
601	1.491204021
602	1.491194426
603	1.49118521
604	1.491175353
605	1.491168327
606	1.491162708
607	1.491148735
608	1.491138359
609	1.491124316
610	1.491110783
611	1.491096235
612	1.491082898
613	1.491076972
614	1.491064007
615	1.49105414
616	1.491043127
617	1.491027606
618	1.491015245
619	1.491006702
620	1.490994147
621	1.490978755
622	1.490971822
623	1.490960965
624	1.49095278
625	1.49094057
626	1.4909303
627	1.490920017
628	1.490909879
629	1.49089906
630	1.490887638
631	1.490877168
632	1.49086483
633	1.490856165
634	1.49084654
635	1.49083705
636	1.490822055
637	1.490811441
638	1.490804493
639	1.490795874
640	1.490784082
641	1.490773877
642	1.490769514
643	1.490755812
644	1.490745614
645	1.490733803
646	1.490724888
647	1.490712554
648	1.490702832
649	1.490693064
650	1.490682859
651	1.490672276
652	1.490664352
653	1.490658777
654	1.49064444
655	1.490630022
656	1.490622266
657	1.490616101
658	1.490609561
659	1.49059951
660	1.490592437
661	1.490588812
662	1.490579949
663	1.490570839
664	1.490562367
665	1.490556683
666	1.490546474
667	1.490539232
668	1.490529704
669	1.490522861
670	1.490520525
671	1.490513654
672	1.490503918
673	1.490494263
674	1.49048946
675	1.490483711
676	1.49047744
677	1.490470017
678	1.490462346
679	1.490456543
680	1.490446605
681	1.490437595
682	1.490430726
683	1.490419887
684	1.490413282
685	1.490405699
686	1.490399755
687	1.490389996
688	1.490382035
689	1.490375218
690	1.490369877
691	1.490360986
692	1.490357433
693	1.49034891
694	1.490344206
695	1.490338927
696	1.490332722
697	1.49032691
698	1.490318169
699	1.490312616
700	1.490304847
701	1.490296332
702	1.490287821
703	1.490278659
704	1.490270818
705	1.490260343
706	1.490252534
707	1.490245518
708	1.490240288
709	1.490232378
710	1.490222711
711	1.490214225
712	1.490205829
713	1.490197891
714	1.490189008
715	1.490180506
716	1.490173235
717	1.49016583
718	1.490157837
719	1.490151504
720	1.490146572
721	1.490141989
722	1.490137311
723	1.490128645
724	1.490123642
725	1.490116622
726	1.490111793
727	1.490105988
728	1.490099109
729	1.49009304
730	1.49008432
731	1.490076117
732	1.490068531
733	1.490061723
734	1.490054725
735	1.490047881
736	1.490038616
737	1.490032271
738	1.490022796
739	1.490016376
740	1.490010001
741	1.490003618
742	1.489997121
743	1.489991689
744	1.489984649
745	1.489977611
746	1.489972452
747	1.489965822
748	1.489960274
749	1.489955428
750	1.48995079
751	1.489944737
752	1.489939518
753	1.489933743
754	1.48992477
755	1.489916416
756	1.489911147
757	1.489906455
758	1.489901389
759	1.489898779
760	1.48989025
761	1.489885968
762	1.489879803
763	1.489874094
764	1.489868623
765	1.489864251
766	1.489857177
767	1.489851214
768	1.489845659
769	1.489840418
770	1.48983462
771	1.489827735
772	1.489820485
773	1.489814241
774	1.489809091
775	1.48980281
776	1.48979763
777	1.489793365
778	1.489786613
779	1.489780331
780	1.489773621
781	1.489767713
782	1.489761883
783	1.489756728
784	1.489753109
785	1.489747786
786	1.489743329
787	1.489736704
788	1.489730958
789	1.489724998
790	1.489721071
791	1.489717233
792	1.489711629
793	1.489705605
794	1.489699972
795	1.48969565
796	1.489689091
797	1.489683791
798	1.489678036
799	1.489670708
800	1.489663765
801	1.489657255
802	1.48965184
803	1.489647325
804	1.489641306
805	1.489636617
806	1.489632396
807	1.489626547
808	1.489623567
809	1.489620274
810	1.489614255
811	1.489608235
812	1.489603378
813	1.489598217
814	1.489595258
815	1.489590988
816	1.48958635
817	1.489580912
818	1.489576497
819	1.48957206
820	1.489567619
821	1.489561956
822	1.489556338
823	1.48955116
824	1.489547683
825	1.489543751
826	1.489538327
827	1.489533452
828	1.489528141
829	1.489525461
830	1.48952116
831	1.489516166
832	1.489511236
833	1.489506154
834	1.489502715
835	1.489498413
836	1.489494659
837	1.489489198
838	1.489484021
839	1.489480036
840	1.489475525
841	1.489470724
842	1.489466041
843	1.489461772
844	1.489456331
845	1.489454023
846	1.489450152
847	1.489445688
848	1.489441837
849	1.489437224
850	1.489432951
851	1.489428934
852	1.489425967
853	1.489421445
854	1.489418149
855	1.489413192
856	1.489408849
857	1.489405062
858	1.489400391
859	1.489395749
860	1.489391657
861	1.48938743
862	1.489385035
863	1.489380431
864	1.489376224
865	1.489373601
866	1.4893702
867	1.48936684
868	1.48936149
869	1.489356323
870	1.489351502
871	1.489347684
872	1.489343817
873	1.489339828
874	1.489334908
875	1.489332859
876	1.489329345
877	1.489324709
878	1.489320588
879	1.489317471
880	1.489313276
881	1.489308341
882	1.489304875
883	1.489299166
884	1.489295131
885	1.489291541
886	1.489286456
887	1.489283808
888	1.489280521
889	1.489275401
890	1.48926957
891	1.489267807
892	1.489265622
893	1.489262149
894	1.489256993
895	1.48925221
896	1.489247981
897	1.489244736
898	1.489242188
899	1.489236915
900	1.489232243
901	1.489228379
902	1.489224241
903	1.489221545
904	1.489217467
905	1.489212933
906	1.489209501
907	1.489205502
908	1.489201927
909	1.489197516
910	1.489192788
911	1.489189006
912	1.489185552
913	1.489181712
914	1.489177581
915	1.489173015
916	1.489169278
917	1.489164812
918	1.489160547
919	1.489157217
920	1.489153787
921	1.48915074
922	1.489147338
923	1.48914406
924	1.4891409
925	1.489137274
926	1.489132507
927	1.489128017
928	1.489123927
929	1.489119686
930	1.489116329
931	1.489112287
932	1.489109072
933	1.489103851
934	1.489099855
935	1.489098023
936	1.489093693
937	1.48909041
938	1.489086805
939	1.489084911
940	1.489081292
941	1.489079457
942	1.489077039
943	1.48907408
944	1.489069994
945	1.489067314
946	1.489064174
947	1.489061151
948	1.489058209
949	1.489054127
950	1.48905058
951	1.489047535
952	1.489044431
953	1.489039676
954	1.489037143
955	1.48903446
956	1.489030767
957	1.489026927
958	1.489023942
959	1.489022077
960	1.489018232
961	1.489016044
962	1.489012804
963	1.489009285
964	1.489006801
965	1.489003984
966	1.489000587
967	1.488997992
968	1.488994691
969	1.488991773
970	1.488990178
971	1.488987002
972	1.488983351
973	1.488979985
974	1.488977339
975	1.48897531
976	1.488972173
977	1.48896875
978	1.488966605
979	1.488963558
980	1.488961138
981	1.488958691
982	1.488956709
983	1.488953518
984	1.488950562
985	1.488948999
986	1.488946128
987	1.488943363
988	1.488940826
989	1.488939161
990	1.488934503
991	1.488930441
992	1.488927947
993	1.488924986
994	1.488923782
995	1.488921239
996	1.488919505
997	1.488916041
998	1.488913801
999	1.4889112
