iter	Passed	Remaining
400	25444	38008
401	25503	37937
402	25566	37874
403	25628	37807
404	25685	37735
405	25747	37669
406	25808	37603
407	25869	37535
408	25926	37464
409	25987	37396
410	26047	37328
411	26107	37260
412	26168	37193
413	26229	37127
414	26290	37059
415	26351	36992
416	26412	36926
417	26469	36854
418	26528	36785
419	26591	36722
420	26654	36658
421	26714	36589
422	26777	36526
423	26837	36458
424	26898	36391
425	26959	36325
426	27023	36263
427	27085	36198
428	27147	36132
429	27208	36067
430	27268	35999
431	27330	35934
432	27392	35869
433	27451	35800
434	27515	35738
435	27575	35670
436	27635	35603
437	27698	35539
438	27760	35475
439	27822	35411
440	27883	35344
441	27944	35278
442	28008	35216
443	28075	35157
444	28139	35094
445	28206	35036
446	28268	34971
447	28332	34909
448	28397	34848
449	28466	34792
450	28531	34731
451	28602	34677
452	28671	34621
453	28738	34562
454	28802	34500
455	28868	34439
456	28934	34379
457	28996	34314
458	29062	34254
459	29124	34189
460	29187	34125
461	29247	34058
462	29311	33996
463	29376	33935
464	29440	33872
465	29503	33808
466	29563	33741
467	29623	33674
468	29693	33618
469	29755	33553
470	29815	33486
471	29881	33427
472	29948	33367
473	30017	33310
474	30078	33244
475	30144	33183
476	30204	33117
477	30268	33054
478	30332	32991
479	30399	32932
480	30464	32871
481	30530	32810
482	30595	32749
483	30657	32683
484	30717	32617
485	30782	32555
486	30848	32495
487	30911	32431
488	30981	32375
489	31048	32315
490	31113	32254
491	31182	32196
492	31248	32135
493	31313	32073
494	31374	32008
495	31436	31943
496	31500	31880
497	31562	31815
498	31625	31752
499	31688	31688
500	31749	31623
501	31811	31557
502	31876	31496
503	31945	31437
504	32017	31383
505	32084	31323
506	32149	31261
507	32214	31199
508	32278	31137
509	32339	31071
510	32404	31009
511	32471	30949
512	32542	30892
513	32603	30827
514	32669	30765
515	32733	30703
516	32797	30640
517	32858	30574
518	32920	30510
519	32986	30448
520	33047	30383
521	33110	30319
522	33172	30254
523	33239	30194
524	33304	30132
525	33370	30071
526	33433	30007
527	33496	29943
528	33562	29882
529	33628	29821
530	33691	29758
531	33754	29693
532	33819	29631
533	33883	29568
534	33946	29505
535	34008	29440
536	34070	29375
537	34133	29311
538	34196	29247
539	34260	29185
540	34326	29123
541	34389	29059
542	34451	28994
543	34514	28931
544	34578	28868
545	34640	28803
546	34708	28744
547	34771	28680
548	34837	28619
549	34901	28555
550	34967	28494
551	35033	28432
552	35098	28370
553	35164	28309
554	35231	28248
555	35297	28187
556	35364	28126
557	35428	28063
558	35488	27997
559	35552	27934
560	35613	27869
561	35678	27806
562	35744	27744
563	35807	27681
564	35870	27617
565	35935	27554
566	35999	27491
567	36058	27425
568	36121	27361
569	36189	27300
570	36254	27238
571	36318	27175
572	36382	27112
573	36450	27052
574	36516	26990
575	36578	26925
576	36644	26864
577	36710	26802
578	36771	26737
579	36836	26674
580	36901	26612
581	36965	26548
582	37028	26485
583	37092	26422
584	37157	26359
585	37219	26295
586	37284	26232
587	37348	26169
588	37415	26108
589	37478	26044
590	37543	25982
591	37606	25918
592	37670	25854
593	37736	25793
594	37802	25731
595	37866	25667
596	37933	25606
597	37994	25541
598	38059	25479
599	38125	25417
600	38191	25355
601	38264	25298
602	38335	25239
603	38403	25178
604	38468	25115
605	38537	25055
606	38604	24994
607	38675	24935
608	38741	24873
609	38808	24812
610	38875	24750
611	38942	24688
612	39003	24624
613	39064	24558
614	39127	24494
615	39191	24431
616	39255	24367
617	39318	24303
618	39383	24241
619	39451	24180
620	39521	24119
621	39590	24059
622	39656	23997
623	39721	23934
624	39784	23870
625	39850	23808
626	39918	23747
627	39982	23683
628	40047	23620
629	40112	23557
630	40176	23494
631	40236	23429
632	40302	23366
633	40366	23303
634	40430	23239
635	40496	23177
636	40562	23115
637	40628	23052
638	40688	22986
639	40749	22921
640	40810	22856
641	40872	22791
642	40938	22729
643	41005	22667
644	41072	22605
645	41133	22540
646	41198	22477
647	41259	22412
648	41323	22348
649	41383	22283
650	41449	22221
651	41516	22159
652	41581	22096
653	41646	22033
654	41707	21968
655	41773	21905
656	41832	21839
657	41894	21775
658	41958	21711
659	42023	21648
660	42086	21584
661	42145	21518
662	42205	21453
663	42271	21390
664	42332	21325
665	42397	21262
666	42462	21199
667	42527	21136
668	42591	21073
669	42658	21010
670	42723	20947
671	42788	20884
672	42851	20820
673	42915	20757
674	42979	20693
675	43042	20630
676	43104	20565
677	43164	20500
678	43230	20437
679	43295	20374
680	43354	20308
681	43418	20244
682	43479	20180
683	43546	20117
684	43607	20053
685	43672	19990
686	43735	19926
687	43800	19862
688	43864	19799
689	43929	19736
690	43990	19671
691	44055	19608
692	44135	19552
693	44207	19492
694	44279	19431
695	44342	19368
696	44419	19310
697	44489	19249
698	44561	19188
699	44627	19126
700	44689	19061
701	44753	18997
702	44818	18934
703	44882	18871
704	44948	18808
705	45011	18744
706	45079	18682
707	45143	18618
708	45205	18554
709	45271	18491
710	45332	18426
711	45399	18363
712	45461	18299
713	45527	18236
714	45598	18175
715	45668	18114
716	45730	18049
717	45794	17986
718	45857	17922
719	45919	17857
720	45986	17795
721	46047	17730
722	46112	17666
723	46174	17602
724	46240	17539
725	46303	17475
726	46361	17409
727	46426	17346
728	46490	17282
729	46555	17219
730	46618	17154
731	46679	17090
732	46744	17026
733	46806	16962
734	46869	16898
735	46931	16834
736	46991	16769
737	47058	16706
738	47122	16642
739	47184	16578
740	47243	16512
741	47308	16449
742	47369	16385
743	47434	16321
744	47492	16255
745	47554	16191
746	47617	16127
747	47681	16063
748	47748	16001
749	47814	15938
750	47876	15873
751	47943	15811
752	48003	15746
753	48077	15685
754	48138	15621
755	48203	15557
756	48266	15493
757	48325	15428
758	48387	15364
759	48450	15300
760	48512	15235
761	48577	15172
762	48640	15108
763	48704	15044
764	48763	14979
765	48827	14915
766	48890	14851
767	48954	14788
768	49014	14723
769	49077	14659
770	49141	14595
771	49213	14534
772	49277	14470
773	49341	14407
774	49403	14342
775	49467	14279
776	49530	14215
777	49590	14150
778	49652	14086
779	49720	14023
780	49789	13961
781	49855	13898
782	49915	13833
783	49982	13770
784	50050	13708
785	50117	13645
786	50179	13581
787	50244	13517
788	50309	13454
789	50371	13389
790	50436	13326
791	50499	13262
792	50561	13198
793	50634	13136
794	50706	13075
795	50770	13011
796	50832	12947
797	50895	12883
798	50959	12819
799	51016	12754
800	51081	12690
801	51146	12627
802	51214	12564
803	51283	12501
804	51347	12438
805	51415	12375
806	51483	12312
807	51549	12249
808	51616	12186
809	51687	12124
810	51754	12061
811	51821	11998
812	51884	11933
813	51947	11870
814	52009	11805
815	52078	11743
816	52144	11679
817	52209	11616
818	52274	11552
819	52341	11489
820	52406	11425
821	52470	11362
822	52533	11298
823	52594	11233
824	52653	11168
825	52716	11104
826	52779	11040
827	52843	10977
828	52901	10912
829	52964	10848
830	53028	10784
831	53093	10720
832	53159	10657
833	53224	10593
834	53285	10529
835	53350	10465
836	53414	10402
837	53476	10337
838	53539	10273
839	53606	10210
840	53671	10147
841	53732	10082
842	53793	10018
843	53857	9954
844	53920	9890
845	53983	9826
846	54044	9762
847	54106	9698
848	54169	9634
849	54232	9570
850	54295	9506
851	54359	9442
852	54418	9378
853	54489	9315
854	54554	9251
855	54619	9188
856	54680	9124
857	54746	9060
858	54808	8996
859	54874	8933
860	54939	8869
861	55003	8805
862	55063	8741
863	55125	8677
864	55189	8613
865	55251	8549
866	55315	8485
867	55377	8421
868	55435	8356
869	55499	8293
870	55561	8228
871	55626	8165
872	55695	8102
873	55761	8038
874	55822	7974
875	55886	7910
876	55952	7847
877	56011	7782
878	56076	7719
879	56140	7655
880	56201	7591
881	56259	7526
882	56318	7462
883	56382	7398
884	56441	7334
885	56505	7270
886	56567	7206
887	56633	7143
888	56697	7079
889	56759	7015
890	56820	6951
891	56883	6887
892	56946	6823
893	57010	6759
894	57070	6695
895	57131	6631
896	57194	6567
897	57263	6504
898	57327	6440
899	57393	6377
900	57453	6312
901	57517	6249
902	57582	6185
903	57650	6122
904	57715	6058
905	57779	5994
906	57839	5930
907	57903	5866
908	57964	5802
909	58030	5739
910	58093	5675
911	58153	5611
912	58220	5547
913	58281	5483
914	58345	5420
915	58403	5355
916	58473	5292
917	58539	5229
918	58599	5164
919	58665	5101
920	58730	5037
921	58796	4974
922	58859	4910
923	58922	4846
924	58987	4782
925	59047	4718
926	59116	4655
927	59181	4591
928	59245	4527
929	59309	4464
930	59369	4400
931	59433	4336
932	59493	4272
933	59559	4208
934	59621	4144
935	59679	4080
936	59740	4016
937	59806	3953
938	59866	3889
939	59929	3825
940	59990	3761
941	60054	3697
942	60119	3633
943	60184	3570
944	60243	3506
945	60307	3442
946	60366	3378
947	60431	3314
948	60498	3251
949	60576	3188
950	60638	3124
951	60704	3060
952	60767	2996
953	60829	2933
954	60892	2869
955	60952	2805
956	61018	2741
957	61079	2677
958	61144	2614
959	61208	2550
960	61272	2486
961	61334	2422
962	61401	2359
963	61470	2295
964	61536	2231
965	61600	2168
966	61662	2104
967	61726	2040
968	61788	1976
969	61853	1912
970	61915	1849
971	61975	1785
972	62034	1721
973	62095	1657
974	62154	1593
975	62215	1529
976	62277	1466
977	62342	1402
978	62402	1338
979	62465	1274
980	62533	1211
981	62598	1147
982	62661	1083
983	62724	1019
984	62783	956
985	62847	892
986	62910	828
987	62977	764
988	63042	701
989	63101	637
990	63164	573
991	63221	509
992	63283	446
993	63346	382
994	63405	318
995	63468	254
996	63531	191
997	63594	127
998	63658	63
999	63723	0
